text,special_ratio,number_ratio,url_count,upper_ratio,blank_ratio,crlf_ratio,Noun,Pronoun,Verb,Adjective,Adverb,avg_word_sentences,avg_char_sentences,avg_word_paragraphs,avg_char_paragraphs,label
"
Lowest Price Guarantee
Fast Delivery
Do not click, type in your browser
http://www.RXking.org
Cialis
Viagra
Phentermine
$2.00 per pill
$2.00 per pill
$4.79 per pill
Viagra ST
Cialis ST
Soma
$2.89 per pill
$2.89 per pill
$2.44 per pill
Valium
Ativan
Meridia
$2.00 per pill
$3.25 per pill
$2.89 per pill
Xanax
Ambien
Nexium
$2.00 per pill
$2.00 per pill
$3.17 per pill
Welcome - Microsoft Internet Explorer
File Edit View
Back
Favorites
Tools Help
Search
Favorites
Address
http://www.rxking.org
Do not click, just type http://www.RXking.org in address bar of your browser, then press Enter KeySubject: Let's Hang Out This Weekend

Hey Mia,

Long time no see! How's everything going? We should catch up this weekend.

I heard about a live jazz performance on Sunday. Interested in some smooth tunes and catching up afterward?

Looking forward to it,
Ava",0.3482926525548032,0.27367968090564543,3,0.07819458388878317,0.4610749579096188,0.6227561894728312,0.46745562130177515,0.029585798816568046,0.04142011834319527,0.023668639053254437,0.03550295857988166,0.2076923076923077,0.15413294534873145,0.03035204567078973,0.028798030903869825,spam
"
WATCH OUT!
SBNS MAKES A MOVE!
WATCH SBNS TRADE ON FRIDAY OCTOBER 13 !
Company Name: SHALLBETTER INDS INC (SBNS.PK) $1 (+5.26% On Thursday Alone!)
Price:
Symbol:
SBNS
5-day Target: $5
SBNS RELEASES BREAKING NEWS:
Shallbetter Industries, Inc. Provides Geological Information Relating To Initial Resource Property In Mongolia. READ MORE ONLINE NOW!
About SBNS :
Shallbetter Industries Inc. is a publicly traded mining company engaging in the acquisition, exploration and potential development of mineral properties in Outer Mongolia. The company trades on the OTC market of the United States under the trading symbol SBNS .
ADD SBNS TO YOUR RADAR ON FRIDAY OCTOBER 13 !
THIS ONE IS SET TO POST BIG GAINS AND RELEASE BREAKING NEWS !This is your chance to save big. Act immediately and access exclusive deals that will save you money.
https://www.sviagray123.com/uigiu378r/dsyu8syud/ihcuisg/sbhsns
www.sexxesx6969casinorwt213.com/145/op
http://www.sviagray123.com/145/op/fyf",0.3080762301660622,0.1500653404965878,3,0.3163153368339198,0.548901036981131,0.19761820120867402,0.5542168674698795,0.012048192771084338,0.04819277108433735,0.030120481927710843,0.018072289156626505,0.0655621301775148,0.06277935940571204,0.1879162702188392,0.2175577738274306,spam
"
HOUSEHOLD
??Perfect
for homes
with pets
super steam
Ready to go in 15 seconds from switch on
from
vax
吏?0
??Compact scrub brush removes grime from awkward spaces
??STEAM BURST function
??Steam and detergent
means floors are extra clean
Pet Detergent & Pad
Neutrales pet odour and removes hair.
Twin tank technology
Separate wand
dergent to allow the release of the right amount of each for your selected for type
Compact scrub brush
Agtales and ins substans and
A. Vax Steam
Fresh Pet Steam Cleaner The Vax Steam Fresh
Pet Steam Cleaner is a powerful steam cleaner ideal for hygienically cleaning sealed hard floors, with a steam burst function to penetrate embedded grime and the most stubborn stains. It's an ideal choice for pet owners, with a pet pad to remove pet hair and a250ml bottle of Vax
pet steam detergent to eliminate bacteria and neutralise pet odours.
787620-TI 吏?0
morphy richards
B. Morphy Richards
Turbo Steam
??Easy view water level window
??Ceramic soleplate
Anti-drip
400ml water tank capacity ??2000W power
??2mpower cord 35g/min steam ??120g steam shot ??Variable and vertical steam, tip technology 787671-TI 吏?5
2000 400
Steam shot
Russell Hobbs
SWITCHED ON STYLE
C. Russell Hobbs 1800W Steam Generator Iron
??Steam rate 40g/min, max
1 litre capacity water tank-less time spent refilling
Continuous steam function ?以릁justable thermostatic control ??Detachable water tank with
water inlet for refilling anytime
??Stainless steel soleplate
??Overheat protection circuit
??Anti-slip iron rest??Soft-grip handle
??Lightweight??Compact
??Easy to store
787663-TI 吏?5
1800 tre
Extra large 1000ml detachable tank meaning less Eme reting & more time ironing
Anytime water reta, tank anytime, even when iron is tumed on
吏?5
Ceramic plate
吏?5
TURBO
??Continuous steam function makes ironing easier and quicker
Ho
148 HOUSEHOLD
VISA
CREDIT/DEBIT CARD PAYMENTS ACCEPTED
149Subject: Embrace Financial Freedom: Online Business Opportunity

Hello Daniel,

Embrace the path to financial freedom. Our Online Business Opportunity empowers you to be your own boss, create additional income streams, and achieve the lifestyle you desire.

Unlock your financial potential,
Benjamin
FreedomBiz",0.1910075723793176,0.11047615382641936,0,0.0893529249037179,0.5307970550718226,0.354296212549463,0.4742014742014742,0.0171990171990172,0.06388206388206388,0.09582309582309582,0.014742014742014743,0.09218934911242602,0.07715390910807841,0.11013320647002856,0.11712019690961302,spam
"
Citytv
Cityflows
CLAUDE
PRESBYTERIAN CHURCH
THERE ARE SOME QUESTIONS THAT CAN'T BE ANSWERED BY GOOGLE
EMPLOYMENAct now and consolidate your debt and credit. Lower your monthly payment and enjoy a cashless lifestyle.",0.053855229913219956,0.0,0,0.4957949893978931,0.5196104968732864,0.3132183908045977,0.6,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.10923076923076923,0.1088933345457852,0.03663177925784967,0.04033912211130863,spam
"
""I THINK A
MARRIAGE IS AS
A MARRIAGE HAS ALWAYS BEEN, BETWEEN A MAN
AND A WOMAN.""
HILLARY RODHAM CLINTON, 2000
#TBTHi John,

Here's a quote that got me thinking: """"Life is one""."" What are your thoughts?",0.4189464805928648,0.047804065773954074,0,0.5605271812504156,0.703269435573032,0.4443689485306608,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.0,0.019230769230769232,0.10769230769230767,0.05365099572610711,0.017364414843006663,0.012580336387255572,ham
"
??Lowest Price Guarantee Fast Delivery
For More Information
Do not click, type in your browser www.BBBrx.org
Viagra 100mg $2.00
??Viagra ST 100mg $2.89
Xanax 1mg $2.00
Cialis 20mg $2.00
Cialis ST 20mg $2.89
??Valium 10mg $2.00
For More Information
Do not click, type in your browser www.BBBrx.orgSubject: Coffee and Creativity

Hey Olivia,

Time flies, doesn't it? It's been ages since we caught up. Let's remedy that this weekend.

I heard about a coffee tasting event on Sunday. How about we explore some unique blends and have a good chat?

Looking forward to it,
Ethan",0.35162428778305466,0.30484477545903693,2,0.08338028006124333,0.6251666683563794,0.39357284708431123,0.3,0.06666666666666667,0.10833333333333334,0.03333333333333333,0.041666666666666664,0.07076923076923078,0.0480434057773332,0.01779257849666984,0.015998906057705455,spam
"
HOT STOCK ALERT THIS ONE IS STILL CLIMBING THE STOCK CHARTS
ALERT BREAKING MARKET NEWS REPORT NWRS.PK
Company Name: NORTHWATER RESOURCES
Lookup: NWRS.PK
Current Price: $.75
Expected: STEADILY CLIMB FOR THE TOP
Breaking News: Northwater Resources, Inc. Announces Assay Results
VANCOUVER, British Columbia--(BUSINESS WIRE)--Aug 7, 2006--Northwater Resources, Inc. is pleased to announce that further Geological work in its highly mineralized collapsed caldera (volcano) in Mexico has defined a highly mineralized structure with a strike length of 4 km with cross faulting extending a minimum of 1.5 km each side of the main mineralized zone. Every sample has contained both gold and silver values from everywhere on the property which is about 10,000 hectares.
About NWRS.PK
About Northwater is a mineral exploration and development company focused on advancing the Rio Mayo gold-silver-copper project in southem Sonora State, Mexico.
WATCH THIS STOCK GO HIGHER AND HIGHERHey! Just wanted to say you're an awesome friend.",0.19006225617456016,0.07611157138911903,0,0.2720155707519226,0.639300687480939,0.1216024340770791,0.4888888888888889,0.011111111111111112,0.09444444444444444,0.03888888888888889,0.022222222222222223,0.2246153846153846,0.19300718377739384,0.20789724072312082,0.22740325447832627,spam
"
THIS GOLDEN STOCK IS SURE TO PUT GOLD IN YOUR POCKETS! WATCH GDKI MAKE A MOVE ON MONDAY OCTOBER 9 !
Company Name: GOLDMARK INDUSTRIES (Other OTC: GDKI.PK)
Symbol:
Price:
Friday!)
GDKI
$2.80 (Up Over 35% on Thursday and
6-day Target: $15
GET IN NOW BEFORE THE HEAVY PR CAMPAIGN BEGINS! THIS GEM WILL POST STRONG GAINS NEXT WEEK!
GDKI RELEASES BREAKING NEWS:
- Frost Appears in Music Video for Snoop Dogg's Brand New Hit Single - ""Vato""
- Goldmark Music Executive VP Arturo R. Molina Jr. (Frost) Set to Speak at Russell Simmons' Los Angeles Hip-Hop Summit This Saturday September 30, 2006
READ MORE ONLINE NOW!
THE ENTERTAINMENT INDUSTRY HAS NEVER BEEN SO HOT! DON'T SIT BACK AND WATCH THIS OPPORTUNITY PASS BY! WATCH GDKI MAKE A MOVE ON MONDAY OCTOBER 9 !Hope you're doing well. I thought it might be cool to have a gaming day tomorrow. We can dust off our consoles and compete in some friendly matches.

I've got a bunch of games in mind, but if you have any favorites, feel free to bring them along. Snacks and good times guaranteed!

Let me know if you're up for it. It's going to be a blast!",0.2582951530418049,0.07976075631873432,0,0.44586992512086937,0.8389609611716697,0.18535663675011807,0.5165289256198347,0.049586776859504134,0.08677685950413223,0.024793388429752067,0.012396694214876033,0.0966153846153846,0.06038010366463581,0.08610846812559468,0.0714253156479329,spam
"
YOU'VE SEEN IT BEFORE YOU SAY?
YOU AIN'T SEEN NOTHING!
Company Name:
Symbol:
Price:
GOLDMARK INDUSTRIES (Other OTC;GDKI.PK)
GDKI
$1.60 (Up 10%!)
By the end of the week this one could be at $6!
GDKI NEW HEADLINE:
Frost Performing at LATV Late Night's 1st Anniversary Celebration at Club Luna in Hollywood, California -- October 25, 2006
GDKI IS THE ULTIMATE STOCK IN THE ENTERTAINMENT INDUSTRY! WATCH GOKI SOAR ON OCT 26!I hope this message brings a smile to your face. Your friendship has been a constant source of joy and support in my life, and I'm incredibly grateful to have you as my friend. Your ability to find the silver lining in any situation is truly remarkable. Let's plan a day of adventure soon, where we can explore new places and create beautiful memories together. You're an amazing person, and I'm blessed to have you in my life. Take care, and remember that I'm always here for you, no matter what.",0.2543546238015674,0.08456841265457671,0,0.2495237462315261,0.8005905175071046,0.14739688979039892,0.3415841584158416,0.07920792079207921,0.12376237623762376,0.039603960396039604,0.034653465346534656,0.1172027972027972,0.07485512577810477,0.22074215033301617,0.1970463558047313,spam
"
????Lowest Price Guarantee Fast Delivery
For More Information
Do not click, type in your browser www.BBBrx.org
Cialis 20mg $2.00
??Viagra 100mg $2.00
??Viagra ST 100mg $2.89
Cialis ST 20mg $2.89
Xanax 1mg $2.00
Valium 10mg $2.00
For More Information
Do not click, type in your browser www.BBBrx.orgHi Britny,

Could you please send me the key points you'd like to discuss during the team meeting? Let's ensure we cover all bases.",0.4080027466752209,0.40622338683262366,2,0.08788320692730464,0.6168460473541773,0.3408981555733761,0.2967032967032967,0.06593406593406594,0.12087912087912088,0.03296703296703297,0.02197802197802198,0.11569230769230768,0.0792943530053651,0.04091341579448145,0.03910843702994667,spam
"
??Lowest Price Guarantee ??Fast Delivery
For Free Information
Do not click, type in your browser www.abcMEDS.org
Viagra
100 mg $2.00
Cialis
20 mg $2.00
Viagra ST 100 mg $2.89
Cialis ST
20 mg $2.89
Valium
10 mg $2.00
Antivan
2 mg $1.90
Xanax 1 mg $2.00
Ambien
10 mg $2.00
Welcome - Microsoft Internet Explorer
File Edit View
Back
Favorites
Tools Help
Search
Favorites
Go
Address http://www.abcMEDS.org
Do not click, just type www.abcMEDS.org in address bar of your browser, then click enterReady to find your path to financial fulfillment? Our program offers you the chance to earn extra income, be your own boss, and experience the joy of big rewards. Say yes to a life of financial freedom, pure profit, and unlimited possibilities.",0.30093177937055865,0.31730437118624555,3,0.08017372061146052,0.5894204945685353,0.41477966738701494,0.3877551020408163,0.04081632653061224,0.10884353741496598,0.05442176870748299,0.027210884353741496,0.21907692307692306,0.16195325997999455,0.16650808753568033,0.15711746205387667,spam
